Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,399,"$70,014.57 ","$55,349.28 "
31610,OTHER,,"1,635","$1,170,374.00 ","$928,624.73 "
,TOTAL,,"1,635","$1,170,374.00 ","$928,624.73 "
31611,SG,,57,"$28,493.43 ","$22,439.66 "
,80'S,,55,"$3,766.66 ","$2,934.51 "
,OTHER,,"1,047","$484,890.18 ","$380,256.95 "
,TOTAL,,"1,159","$517,150.27 ","$405,631.12 "
31612,SG,,5,"$1,472.52 ","$1,178.02 "
,OTHER,,251,"$12,222.99 ","$9,667.37 "
,TOTAL,,256,"$13,695.51 ","$10,845.39 "
31613,SG,,30,"$11,872.17 ","$9,227.74 "
,OTHER,,"1,189","$550,407.96 ","$434,635.55 "
,TOTAL,,"1,219","$562,280.13 ","$443,863.29 "
31614,SG,,23,"$9,416.34 ","$7,533.07 "
,OTHER,,465,"$310,825.24 ","$243,926.46 "
,TOTAL,,488,"$320,241.58 ","$251,459.53 "
31615,SG,,22,"$5,433.42 ","$4,346.70 "
,80'S,,1,$18.17 ,$14.54 
,OTHER,,"7,624","$1,185,749.40 ","$931,374.03 "
,TOTAL,,"7,647","$1,191,200.99 ","$935,735.27 "
31622,SG,,"1,288","$367,558.44 ","$290,651.90 "
,80'S,,6,$135.27 ,$108.23 
,OTHER,,"101,737","$13,750,691.73 ","$10,902,121.64 "
,TOTAL,,"103,031","$14,118,385.44 ","$11,192,881.77 "
31623,SG,,218,"$79,413.69 ","$63,235.31 "
,OTHER,,"32,845","$2,600,912.73 ","$2,059,913.29 "
,TOTAL,,"33,063","$2,680,326.42 ","$2,123,148.60 "
31624,SG,,93,"$33,399.71 ","$26,317.62 "
,OTHER,,"48,047","$4,300,055.66 ","$3,408,947.61 "
,TOTAL,,"48,140","$4,333,455.37 ","$3,435,265.23 "
31625,SG,,668,"$282,131.54 ","$223,617.47 "
,80'S,,1,$32.14 ,$25.71 
,OTHER,,"43,446","$7,210,899.83 ","$5,710,050.00 "
,TOTAL,,"44,115","$7,493,063.51 ","$5,933,693.18 "
31628,SG,,529,"$225,646.90 ","$175,793.47 "
