Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 30000 - 32999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
,OTHER,,"1,241","$479,877.75 ","$379,278.60 "
,TOTAL,,"1,269","$491,619.92 ","$388,472.77 "
31614,SG,,24,"$9,868.16 ","$7,845.91 "
,OTHER,,435,"$253,130.53 ","$199,983.89 "
,TOTAL,,459,"$262,998.69 ","$207,829.80 "
31615,SG,,27,"$6,556.92 ","$5,245.56 "
,OTHER,,"8,993","$1,325,426.22 ","$1,038,867.94 "
,TOTAL,,"9,020","$1,331,983.14 ","$1,044,113.50 "
31620,OTHER,,374,"$29,790.19 ","$23,798.88 "
,TOTAL,,374,"$29,790.19 ","$23,798.88 "
31622,SG,,"1,221","$333,996.45 ","$263,536.73 "
,80'S,,4,$77.17 ,$61.74 
,OTHER,,"101,182","$14,063,647.64 ","$11,144,217.94 "
,TOTAL,,"102,407","$14,397,721.26 ","$11,407,816.41 "
31623,SG,,509,"$174,631.41 ","$138,472.41 "
,OTHER,,"38,060","$2,679,056.00 ","$2,120,979.42 "
,TOTAL,,"38,569","$2,853,687.41 ","$2,259,451.83 "
