,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2006,,
,,,Code Ranges 30000 - 32999,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
31622,SG,,"1,100","$302,231.66 ","$238,441.77 "
,80'S,,4,$95.03 ,$76.02 
,OTHER,,"96,601","$13,347,392.99 ","$10,570,737.59 "
,TOTAL,,"97,705","$13,649,719.68 ","$10,809,255.38 "
31623,SG,,545,"$179,821.81 ","$142,534.09 "
,OTHER,,"37,727","$2,517,488.42 ","$1,991,235.63 "
,TOTAL,,"38,272","$2,697,310.23 ","$2,133,769.72 "
31624,SG,,459,"$141,496.49 ","$112,429.86 "
,OTHER,,"73,162","$7,118,841.83 ","$5,642,770.39 "
,TOTAL,,"73,621","$7,260,338.32 ","$5,755,200.25 "
