CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
,33503,TOTAL,12,"$10,251.16","$8,200.94",
,,80S,N/A,$326.71,$261.37,
,,OTHER,N/A,"$9,924.45","$7,939.57",
,33504,TOTAL,17,"$9,563.19","$7,650.56",
,,80S,N/A,$972.71,$778.18,
,,OTHER,N/A,"$8,590.48","$6,872.38",
,33505,TOTAL,N/A,"$1,440.09","$1,152.08",
,,80S,N/A,$251.72,$201.38,
,,OTHER,N/A,"$1,188.37",$950.70,
,33506,TOTAL,N/A,"$11,723.93","$9,379.15",
,,80S,N/A,$682.07,$545.66,
,,OTHER,N/A,"$11,041.86","$8,833.49",
,33507,TOTAL,27,"$25,514.07","$19,771.43",
,,80S,N/A,$753.80,$603.03,
,,OTHER,22,"$24,760.27","$19,168.40",
,33508,TOTAL,"82,140","$999,174.60","$792,948.63",
,,80S,"23,378","$53,867.57","$42,925.91",
,,OTHER,"58,762","$945,307.03","$750,022.72",
,33510,TOTAL,"10,647","$8,097,407.63","$6,444,357.95",
,,80S,"4,207","$706,529.44","$562,742.92",
,,OTHER,"6,440","$7,390,878.19","$5,881,615.03",
,33511,TOTAL,"8,158","$8,290,731.43","$6,579,530.83",
,,80S,"3,252","$733,238.17","$583,588.67",
,,OTHER,"4,906","$7,557,493.26","$5,995,942.16",
,33512,TOTAL,"5,838","$8,491,504.35","$6,748,022.62",
,,80S,"2,347","$759,510.08","$605,439.49",
,,OTHER,"3,491","$7,731,994.27","$6,142,583.13",
,33513,TOTAL,"2,135","$3,203,422.58","$2,545,535.74",
,,80S,861,"$287,818.36","$229,014.98",
,,OTHER,"1,274","$2,915,604.22","$2,316,520.76",
,33514,TOTAL,510,"$836,290.88","$657,624.41",
,,80S,203,"$73,942.59","$58,544.95",
,,OTHER,307,"$762,348.29","$599,079.46",
,33516,TOTAL,105,"$178,039.35","$140,467.83",
,,80S,40,"$14,856.21","$11,884.96",
,,OTHER,65,"$163,183.14","$128,582.87",
,33517,TOTAL,"26,140","$3,185,703.03","$2,527,268.02",
,,80S,"10,218","$271,587.27","$216,132.92",
,,OTHER,"15,922","$2,914,115.76","$2,311,135.10",
,33518,TOTAL,"54,106","$14,102,271.28","$11,192,940.61",
,,80S,"21,437","$1,226,842.34","$976,470.78",
,,OTHER,"32,669","$12,875,428.94","$10,216,469.83",
,33519,TOTAL,"37,012","$12,692,504.74","$10,063,605.75",
,,80S,"15,038","$1,147,438.93","$913,042.23",
,,OTHER,"21,974","$11,545,065.81","$9,150,563.52",
,33521,TOTAL,"10,500","$4,292,523.10","$3,408,607.79",
,,80S,"4,354","$399,881.73","$318,150.52",
,,OTHER,"6,146","$3,892,641.37","$3,090,457.27",
