Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,"24,902","$4,941,564","$3,933,281"
,TOTAL,,"24,937","$4,949,581","$3,939,535"
31646,OTHER,,"4,499","$746,351","$593,126"
,TOTAL,,"4,499","$746,351","$593,126"
31656,OTHER,,48,"$5,911","$4,655"
,TOTAL,,48,"$5,911","$4,655"
31700,OTHER,,59,"$3,785","$3,028"
,TOTAL,,59,"$3,785","$3,028"
31708,OTHER,,2,$124,$99
,TOTAL,,2,$124,$99
31710,OTHER,,95,"$5,383","$4,306"
,TOTAL,,95,"$5,383","$4,306"
31715,OTHER,,17,$979,$778
,TOTAL,,17,$979,$778
31717,OTHER,,35,"$2,321","$1,856"
,TOTAL,,35,"$2,321","$1,856"
31720,OTHER,,978,"$64,966","$51,707"
,TOTAL,,978,"$64,966","$51,707"
31725,OTHER,,783,"$84,057","$66,653"
,TOTAL,,783,"$84,057","$66,653"
31730,SG,,1,$296,$237
,OTHER,,761,"$126,130","$99,465"
,TOTAL,,762,"$126,426","$99,702"
31750,SG,,2,"$1,287","$1,030"
,80'S,,10,"$1,378","$1,102"
,OTHER,,164,"$121,210","$96,064"
,TOTAL,,176,"$123,875","$98,196"
31755,80'S,,2,$264,$212
,OTHER,,55,"$51,901","$41,338"
,TOTAL,,57,"$52,165","$41,550"
31760,80'S,,1,$240,$192
,OTHER,,20,"$12,785","$10,203"
,TOTAL,,21,"$13,025","$10,395"
31766,OTHER,,2,"$3,727","$2,982"
,TOTAL,,2,"$3,727","$2,982"
31770,80'S,,1,$76,$61
,OTHER,,11,"$7,168","$5,694"
,TOTAL,,12,"$7,244","$5,755"
31775,80'S,,1,$259,$207
,OTHER,,15,"$22,618","$18,094"
,TOTAL,,16,"$22,877","$18,301"
31780,80'S,,14,"$2,891","$2,313"
,OTHER,,87,"$94,837","$75,237"
,TOTAL,,101,"$97,728","$77,550"
31781,80'S,,2,$503,$402
,OTHER,,14,"$19,050","$15,240"
,TOTAL,,16,"$19,553","$15,642"
31785,SG,,2,"$1,131",$905
,80'S,,8,"$1,211",$969
,OTHER,,91,"$77,964","$62,291"
,TOTAL,,101,"$80,306","$64,164"
31786,80'S,,2,$444,$355
,OTHER,,18,"$24,493","$19,478"
,TOTAL,,20,"$24,937","$19,834"
31800,80'S,,3,$240,$192
,OTHER,,70,"$30,347","$24,240"
,TOTAL,,73,"$30,587","$24,431"
31805,80'S,,5,$642,$513
,OTHER,,24,"$13,081","$10,465"
,TOTAL,,29,"$13,723","$10,978"
31820,SG,,13,"$3,843","$3,074"
,80'S,,1,$64,$51
,OTHER,,261,"$91,941","$71,339"
,TOTAL,,275,"$95,848","$74,465"
31825,SG,,7,"$3,007","$2,406"
,80'S,,1,$98,$78
,OTHER,,253,"$132,458","$104,004"
,TOTAL,,261,"$135,563","$106,488"
31830,SG,,7,"$2,718","$2,094"
,80'S,,1,$65,$52
,OTHER,,151,"$51,791","$41,094"
,TOTAL,,159,"$54,574","$43,240"
31899,80'S,,1,$350,$280
,OTHER,,451,"$64,895","$51,870"
,TOTAL,,452,"$65,246","$52,150"
32000,SG,,356,"$100,762","$79,490"
,OTHER,,"149,759","$13,057,212","$10,342,788"
,TOTAL,,"150,115","$13,157,974","$10,422,278"
32001,OTHER,,14,"$2,581","$2,065"
,TOTAL,,14,"$2,581","$2,065"
32002,SG,,23,"$9,464","$7,571"
,OTHER,,"29,291","$3,510,968","$2,787,477"
,TOTAL,,"29,314","$3,520,432","$2,795,048"
32005,SG,,2,$623,$499
,80'S,,6,$84,$67
,OTHER,,"8,835","$1,015,359","$809,039"
,TOTAL,,"8,843","$1,016,066","$809,604"
32020,SG,,6,"$2,503","$2,002"
,80'S,,13,$526,$420
,OTHER,,"54,049","$12,492,383","$9,913,893"
,TOTAL,,"54,068","$12,495,411","$9,916,316"
32035,80'S,,16,"$1,485","$1,188"
,OTHER,,203,"$113,581","$90,553"
,TOTAL,,219,"$115,067","$91,741"
32036,80'S,,25,"$2,548","$2,039"
,OTHER,,281,"$184,676","$146,828"
,TOTAL,,306,"$187,225","$148,867"
32095,80'S,,276,"$27,083","$21,553"
,OTHER,,"2,540","$1,477,751","$1,173,944"
,TOTAL,,"2,816","$1,504,834","$1,195,497"
32100,80'S,,668,"$89,954","$71,724"
,OTHER,,"3,594","$2,797,613","$2,219,524"
,TOTAL,,"4,262","$2,887,566","$2,291,248"
32110,80'S,,89,"$12,297","$9,743"
,OTHER,,478,"$386,638","$307,114"
,TOTAL,,567,"$398,936","$316,857"
32120,80'S,,98,"$11,401","$8,941"
,OTHER,,751,"$494,493","$392,849"
,TOTAL,,849,"$505,894","$401,790"
32124,80'S,,153,"$15,018","$11,999"
,OTHER,,556,"$315,960","$252,688"
,TOTAL,,709,"$330,978","$264,688"
32140,80'S,,40,"$6,445","$5,029"
,OTHER,,161,"$135,243","$107,380"
,TOTAL,,201,"$141,688","$112,409"
32141,80'S,,137,"$20,080","$15,808"
,OTHER,,798,"$630,270","$495,602"
,TOTAL,,935,"$650,350","$511,411"
32150,80'S,,38,"$5,170","$4,136"
,OTHER,,206,"$161,377","$128,215"
,TOTAL,,244,"$166,548","$132,351"
32151,80'S,,6,$940,$752
,OTHER,,36,"$31,507","$25,205"
